[2024-12-13 17:44:23.819811] NIDS service started. Monitoring network traffic.
[2024-12-13 18:05:19.470591] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:19.479695] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:19.495872] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:20.543960] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:20.551329] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:20.553285] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:20.559355] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:20.576718] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:20.584441] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:20.595430] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:20.607552] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:20.622641] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:20.631850] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:20.638672] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:21.643503] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:21.659527] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:21.670929] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:21.679299] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:21.692570] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:21.701606] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:21.715329] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:21.720330] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:21.729691] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:21.748275] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:21.751355] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:22.764199] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:22.770786] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:22.772704] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:22.791016] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:22.800717] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:22.804477] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:22.844758] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:22.862025] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:22.876744] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:22.887053] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:22.888945] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:23.901356] [ALERT] Possible SSH brute-force from 172.22.0.1
